,m_ej,v_ej,Y_e,kappa,sigma_kappa
349,0.03,0.25,0.175,103.60574085031774,20.72114817006355
350,0.03,0.25,0.2,56.19114397486443,11.238228794972887
351,0.03,0.25,0.225,40.9569812175216,8.19139624350432
352,0.03,0.25,0.25,4.462984197769394,0.8925968395538789
353,0.03,0.25,0.3,7.772487183102204,1.554497436620441
354,0.03,0.25,0.35,8.578340195998358,1.7156680391996717
355,0.03,0.25,0.4,4.659715198462048,0.9319430396924097
356,0.03,0.3,0.175,118.21349944922537,23.642699889845076
357,0.03,0.3,0.225,63.70399035611417,12.740798071222834
358,0.05,0.2,0.175,82.31068159731649,16.462136319463298
359,0.05,0.2,0.225,21.889104178947296,4.37782083578946
360,0.05,0.25,0.15,128.06773388384593,25.613546776769187
361,0.05,0.25,0.175,87.75706340584318,17.55141268116864
362,0.05,0.25,0.2,47.92434996941947,9.584869993883894
363,0.05,0.25,0.225,34.50286607025838,6.900573214051676
364,0.05,0.25,0.25,3.608239939744482,0.7216479879488964
365,0.05,0.25,0.3,6.229616327852052,1.2459232655704104
366,0.05,0.25,0.35,6.8172040778641785,1.3634408155728357
367,0.05,0.25,0.4,2.80262040064644,0.560524080129288
368,0.05,0.3,0.175,96.0768014524702,19.215360290494043
369,0.05,0.3,0.225,53.26055109720217,10.652110219440434
370,0.065,0.2,0.15,159.05428783143122,31.810857566286245
371,0.065,0.2,0.175,76.26281535770077,15.252563071540155
372,0.065,0.2,0.2,32.55488874439311,6.510977748878623
373,0.065,0.2,0.225,19.950621757370733,3.990124351474147
374,0.065,0.2,0.25,2.0117391412742567,0.4023478282548514
375,0.065,0.2,0.3,4.548508919697466,0.9097017839394932
376,0.065,0.2,0.35,4.852715514576815,0.970543102915363
377,0.065,0.2,0.4,8.467763772315923,1.6935527544631848
378,0.065,0.25,0.15,117.7233687809583,23.54467375619166
379,0.065,0.25,0.175,80.9801280482304,16.19602560964608
380,0.065,0.25,0.2,44.25591880027171,8.851183760054342
381,0.065,0.25,0.225,31.63833730526595,6.32766746105319
382,0.065,0.25,0.25,3.28157014287662,0.6563140285753241
383,0.065,0.25,0.3,5.605669970965394,1.121133994193079
384,0.065,0.25,0.35,6.154441467587063,1.2308882935174126
385,0.065,0.25,0.4,2.470075906435088,0.4940151812870176
386,0.08,0.2,0.175,72.03390160908978,14.406780321817957
387,0.08,0.2,0.225,18.46527052632675,3.6930541052653503
388,0.08,0.25,0.15,111.2605379208316,22.25210758416632
389,0.08,0.25,0.175,76.0329410612452,15.20658821224904
390,0.08,0.25,0.2,41.41718663869991,8.283437327739982
391,0.08,0.25,0.225,29.469104627396334,5.893820925479267
392,0.08,0.25,0.25,3.0592086462684964,0.6118417292536993
393,0.08,0.25,0.3,5.1705553172555785,1.0341110634511157
394,0.08,0.25,0.35,5.693596415393265,1.138719283078653
395,0.08,0.25,0.4,2.1956149441600057,0.4391229888320012
