,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,chi_sq_weighted_dof,weighted_dof,sigma_kappa,thresholded_sigma_kappa_01,thresholded_sigma_kappa_02
43,SA1_m01_v40_Ye20_spec_2020-07-01.dat,0.01,0.4,0.2,274.1959676064113,0.7499064235379365,0.7499064235379365,0.21724475191484166,256035,27.206285112839186,2044.4636166172954,0.7499064235379365,27.419596760641127,54.839193521282255
44,SA1_m01_v40_Ye25_spec_2020-07-01.dat,0.01,0.4,0.25,112.87000234959568,0.14316671693458716,0.14316671693457295,2.367151339357023,256035,376.55239827516976,1609.5332175507233,0.14316671693458005,11.287000234959569,22.574000469919138
45,SA1_m01_v40_Ye30_spec_2020-07-01.dat,0.01,0.4,0.3,28.357076137323638,0.0312089083537046,0.029317459362573572,5.7010997834268515,256035,778.5984785714138,1874.7546048740583,0.030263183858139087,2.835707613732364,5.671415227464728
46,SA1_m01_v40_Ye35_spec_2020-07-01.dat,0.01,0.4,0.35,70.19887278929453,0.09366249976056906,0.09132093726654489,5.589403888467877,256035,902.02926564371,1586.5150711741235,0.09249171851355698,7.019887278929453,14.039774557858905
47,SA1_m01_v40_Ye40_spec_2020-07-01.dat,0.01,0.4,0.4,116.93485736716312,0.12091531140887923,0.11311432357602769,2.986704015924748,256035,739.0992540670218,1034.6387964936973,0.11701481749245346,11.693485736716312,23.386971473432624
48,SA1_m03_v15_Ye15_spec_2020-09-17.dat,0.03,0.15,0.15,117.46465764004284,0.2116727516580994,0.20775288588664864,0.13256044856024116,256035,5.4569186434797645,6219.648241902032,0.20971281877237402,11.746465764004284,23.49293152800857
49,SA1_m03_v15_Ye20_spec_2020-09-17.dat,0.03,0.15,0.2,25.041991081964355,0.04094217857613813,0.039271069246506585,0.8164836704410658,256035,73.96893950011658,2826.1645762955523,0.04010662391132236,2.5041991081964357,5.008398216392871
50,SA1_m03_v15_Ye25_spec_2020-09-17.dat,0.03,0.15,0.25,1.8775421459456387,0.0011271076265078062,0.001064490536146101,17.553157085089204,256035,791.259455809527,5679.834270900225,0.0010957990813269536,0.18775421459456387,0.37550842918912775
51,SA1_m03_v15_Ye30_spec_2020-09-17.dat,0.03,0.15,0.3,2.9449653336576938,0.0017691316436940774,0.0015725614610619942,18.484062865151483,256035,774.2618228730165,6112.36005169175,0.0016708465523780358,0.29449653336576936,0.5889930667315387
52,SA1_m03_v15_Ye35_spec_2020-09-17.dat,0.03,0.15,0.35,2.3051833287586843,0.0020264504031968222,0.0008105801612785513,15.348044856360179,256035,699.5722536989427,5617.199144220601,0.0014185152822376867,0.23051833287586843,0.46103666575173685
