,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
156,SA1_m03_v20_Ye35_spec_2020-07-10.dat,0.03,0.2,0.35,1.2444047513308665,0.0011467564858798074,0.000860067364409689,98.95068231336266,24793,0.0010034119251447482
157,SA1_m03_v20_Ye40_spec_2020-07-10.dat,0.03,0.2,0.4,2.923021517773984,0.002690553148965158,0.002354234005344402,51.41526537380904,24793,0.00252239357715478
158,SA1_m03_v20_Ye45_spec_2020-07-10.dat,0.03,0.2,0.45,0.01,0.001159111222382974,3.864992405410578e-07,55.81168313315325,24793,0.0005797488608117575
159,SA1_m03_v20_Ye50_spec_2020-07-10.dat,0.03,0.2,0.5,1.021992695655078,0.0011244363285056735,0.0003748121095019652,397.69499671912865,24793,0.0007496242190038194
160,SA1_m03_v30_Ye05_spec_2020-07-10.dat,0.03,0.3,0.05,62.836420141327835,0.18752374506915714,0.18752374506917135,1.2725624301572234,22263,0.18752374506916425
161,SA1_m03_v30_Ye10_spec_2020-07-10.dat,0.03,0.3,0.1,68.12340011380576,0.20327843234187526,0.19546003109795151,1.3234543643721366,22263,0.1993692317199134
162,SA1_m03_v30_Ye15_spec_2020-07-10.dat,0.03,0.3,0.15,74.21118006562796,0.22883199878407368,0.21188148035562904,1.3179813017858253,22263,0.22035673956985136
163,SA1_m03_v30_Ye20_spec_2020-07-10.dat,0.03,0.3,0.2,19.685622267554344,0.03378070222792218,0.029276608597538,6.093217659873118,22263,0.03152865541273009
164,SA1_m03_v30_Ye25_spec_2020-07-10.dat,0.03,0.3,0.25,1.6217231279193793,0.0020553652913917198,0.0016816625111386596,53.3412501221058,22263,0.0018685139012651897
165,SA1_m03_v30_Ye30_spec_2020-07-10.dat,0.03,0.3,0.3,2.226548048017504,0.0024738259464482937,0.0008246086488159499,112.7382984031521,22263,0.0016492172976321218
166,SA1_m03_v30_Ye35_spec_2020-07-10.dat,0.03,0.3,0.35,4.2305004315146295,0.005835700497068608,0.004376775372802122,49.91287933577247,22263,0.005106237934935365
167,SA1_m03_v30_Ye40_spec_2020-07-10.dat,0.03,0.3,0.4,1.7039330675981466,0.002527315281757758,0.001263657640878879,53.98415352068239,22263,0.0018954864613183187
168,SA1_m03_v30_Ye45_spec_2020-07-10.dat,0.03,0.3,0.45,0.01039255744825886,0.00039255744825886056,1.591234082918419e-07,66.0810208845372,22263,0.0001963582858335762
169,SA1_m03_v30_Ye50_spec_2020-07-10.dat,0.03,0.3,0.5,0.8612664260136694,0.0006369370939122154,0.0003184685469560522,334.9320778745819,22263,0.0004777028204341338
170,SA1_m03_v40_Ye05_spec_2020-07-10.dat,0.03,0.4,0.05,87.43427762308198,0.38135592722954925,0.3713202449340258,1.9905534514588152,18215,0.37633808608178754
171,SA1_m03_v40_Ye10_spec_2020-07-10.dat,0.03,0.4,0.1,85.82142929292012,0.3642669580572999,0.3544219051368316,2.1265691366666317,18215,0.35934443159706575
172,SA1_m03_v40_Ye15_spec_2020-07-10.dat,0.03,0.4,0.15,99.86365817384156,0.4117045064991771,0.4231407427908067,2.195503882487217,18215,0.4174226246449919
173,SA1_m03_v40_Ye20_spec_2020-07-10.dat,0.03,0.4,0.2,54.78975609212281,0.18842742555291636,0.18214651136781157,2.8218205549057744,18215,0.18528696846036397
174,SA1_m03_v40_Ye25_spec_2020-07-10.dat,0.03,0.4,0.25,17.076409196214158,0.023534154503661142,0.021572974961689084,40.59758673905549,18215,0.022553564732675113
175,SA1_m03_v40_Ye30_spec_2020-07-10.dat,0.03,0.4,0.3,4.272157458333736,0.00590334275643567,0.004919452297029281,92.37844136007982,18215,0.005411397526732475
176,SA1_m03_v40_Ye35_spec_2020-07-10.dat,0.03,0.4,0.35,10.278432153424806,0.014173541513986976,0.012992413054490726,109.00419692491536,18215,0.01358297728423885
177,SA1_m03_v40_Ye40_spec_2020-07-10.dat,0.03,0.4,0.4,14.542202380655432,0.021657529628399175,0.005414382407099794,62.43263693754439,18215,0.013535956017749484
178,SA1_m03_v40_Ye45_spec_2020-07-10.dat,0.03,0.4,0.45,0.01097795978647034,0.000977959786470339,2.3065089303601904e-07,82.46169052393176,18215,0.0004890952186816875
179,SA1_m03_v40_Ye50_spec_2020-07-10.dat,0.03,0.4,0.5,0.6668255800633619,0.000730617997845795,0.00024353933261522798,237.40900665381298,18215,0.00048707866523051147
180,SA1_m05_v05_Ye05_spec_2020-07-01.dat,0.05,0.05,0.05,15.72037106351209,0.028946916067916106,0.02532855155942393,3.17626027609529,25805,0.027137733813670017
181,SA1_m05_v05_Ye10_spec_2020-07-01.dat,0.05,0.05,0.1,15.330267200138472,0.03401983834227629,0.017009919171137255,4.077105812998886,25805,0.02551487875670677
182,SA1_m05_v05_Ye15_spec_2020-07-01.dat,0.05,0.05,0.15,16.421666103657532,0.030380722146720274,0.018228433288030033,4.330992449717886,25805,0.024304577717375153
183,SA1_m05_v05_Ye20_spec_2020-07-01.dat,0.05,0.05,0.2,1.3705842573100366,0.0020276963596272957,0.0005069240899069349,117.61932915063403,25805,0.0012673102247671153
184,SA1_m05_v05_Ye25_spec_2020-07-01.dat,0.05,0.05,0.25,0.8292014678644735,0.000911912580183083,0.00030397086006095364,384.76169300937056,25805,0.0006079417201220183
185,SA1_m05_v05_Ye30_spec_2020-07-01.dat,0.05,0.05,0.3,0.6864643587374093,0.0005044476948078414,0.0002522238474039762,361.4355707479352,25805,0.00037833577110590877
186,SA1_m05_v05_Ye35_spec_2020-07-01.dat,0.05,0.05,0.35,0.7336413595113914,0.0005410402687935356,0.0002705201343967678,353.7003003344511,25805,0.0004057802015951517
187,SA1_m05_v05_Ye40_spec_2020-07-01.dat,0.05,0.05,0.4,1.0243472901388093,0.0007583904973000877,0.00037919524865004384,129.36929001955355,25805,0.0005687928729750658
188,SA1_m05_v05_Ye45_spec_2020-07-01.dat,0.05,0.05,0.45,0.05148324593356818,0.00011187896310883155,0.00010599059662942667,2.510389197512858,25805,0.00010893477986912911
189,SA1_m05_v05_Ye50_spec_2020-07-01.dat,0.05,0.05,0.5,0.6499893023370004,0.0007137427163609322,0.0002379142387869404,524.005391690235,25805,0.0004758284775739363
190,SA1_m05_v10_Ye05_spec_2020-07-01.dat,0.05,0.1,0.05,29.773658847027875,0.07502055544838981,0.07161053020073282,1.2568735930343085,25805,0.07331554282456132
191,SA1_m05_v10_Ye10_spec_2020-07-01.dat,0.05,0.1,0.1,20.874740935021492,0.045326902349941633,0.04294127591047214,1.820301694248581,25805,0.04413408913020689
192,SA1_m05_v10_Ye15_spec_2020-07-01.dat,0.05,0.1,0.15,42.5975973771772,0.10723472205849305,0.10236041651037908,0.8758596749273311,25805,0.10479756928443607
193,SA1_m05_v10_Ye20_spec_2020-07-01.dat,0.05,0.1,0.2,3.342157084201727,0.0049438532406553826,0.0024719266203274692,31.103978658768142,25805,0.003707889930491426
194,SA1_m05_v10_Ye25_spec_2020-07-01.dat,0.05,0.1,0.25,0.42270042324313284,0.0003083305366030076,0.00015416526830147603,278.180941548637,25805,0.0002312479024522418
195,SA1_m05_v10_Ye30_spec_2020-07-01.dat,0.05,0.1,0.3,0.6050796315401811,0.00044359271825578084,0.00022179635912800144,239.962314860748,25805,0.00033269453869189114
196,SA1_m05_v10_Ye35_spec_2020-07-01.dat,0.05,0.1,0.35,0.4259867881366082,0.00029448759348077447,0.00019632506232059033,188.97892364739363,25805,0.0002454063279006824
197,SA1_m05_v10_Ye40_spec_2020-07-01.dat,0.05,0.1,0.4,0.7857977657205333,0.0008703789443387233,0.00029012631477953743,80.07557690849866,25805,0.0005802526295591304
198,SA1_m05_v10_Ye45_spec_2020-07-01.dat,0.05,0.1,0.45,0.05281024613452447,0.04281024613452447,5.343932859135092e-06,17.81663705136523,25805,0.021407795033691803
199,SA1_m05_v10_Ye50_spec_2020-07-01.dat,0.05,0.1,0.5,0.916675994329398,0.0006751124306250134,0.0003375562153125067,563.1653777320195,25805,0.00050633432296876
200,SA1_m05_v15_Ye05_spec_2020-09-17.dat,0.05,0.15,0.05,32.608044723161356,0.07852662445483105,0.07478726138555203,0.9115249736183548,25299,0.07665694292019154
201,SA1_m05_v15_Ye10_spec_2020-09-17.dat,0.05,0.15,0.1,26.18366310312474,0.06008036122046079,0.057076343159437215,1.1467648458054376,25299,0.058578352189949
202,SA1_m05_v15_Ye15_spec_2020-09-17.dat,0.05,0.15,0.15,32.17157125811384,0.07023381033873477,0.06284077767149654,1.0719668845790187,25299,0.06653729400511565
203,SA1_m05_v15_Ye20_spec_2020-09-17.dat,0.05,0.15,0.2,5.567527044884199,0.009618849459456236,0.00897759282882582,8.549621591489391,25299,0.009298221144141028
204,SA1_m05_v15_Ye25_spec_2020-09-17.dat,0.05,0.15,0.25,0.32803947070687534,0.000356679780231961,0.00011889326007735734,186.59989421344645,25299,0.00023778652015465918
205,SA1_m05_v15_Ye30_spec_2020-09-17.dat,0.05,0.15,0.3,0.48523290190402923,0.0003550488620874259,0.00017752443104374072,185.92251558306089,25299,0.0002662866465655833
206,SA1_m05_v15_Ye35_spec_2020-09-17.dat,0.05,0.15,0.35,0.38268588722101016,0.00041594407055917104,0.00013864802351970518,152.27125671758145,25299,0.0002772960470394381
207,SA1_m05_v15_Ye40_spec_2020-09-17.dat,0.05,0.15,0.4,0.33860717229385606,0.0003507988508221205,0.00027284355063944554,65.22849704217413,25299,0.000311821200730783
208,SA1_m05_v15_Ye45_spec_2020-09-17.dat,0.05,0.15,0.45,0.021003225747875484,0.011003225747875484,4.853436437676772e-07,66.79335474817844,25299,0.005501855545759626
209,SA1_m05_v15_Ye50_spec_2020-09-17.dat,0.05,0.15,0.5,0.8270736718440462,0.000911912580183083,0.00030397086006106466,464.75799790797294,25299,0.0006079417201220738
