,Unnamed: 0,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
18,18,SA1_m002_v20_Ye30_spec_2020-07-01.dat,0.002,0.2,0.3,6.426532655653777,1.2853065311307557,1.2853065311307557,68.4793358200684,24793,1.2853065311307557
19,19,SA1_m002_v20_Ye35_spec_2020-07-01.dat,0.002,0.2,0.35,7.822295914438554,1.5644591828877108,1.5644591828877108,40.569903270177214,24793,1.5644591828877108
20,20,SA1_m002_v20_Ye40_spec_2020-07-01.dat,0.002,0.2,0.4,14.96132865043522,2.9922657300870443,2.9922657300870443,51.13982345510632,24793,2.9922657300870443
22,22,SA1_m01_v05_Ye15_spec_2020-07-01.dat,0.01,0.05,0.15,24.592538528729147,4.91850770574583,4.91850770574583,5.639816494215887,26817,4.91850770574583
23,23,SA1_m01_v05_Ye20_spec_2020-07-01.dat,0.01,0.05,0.2,1.796773276075558,0.3593546552151116,0.3593546552151116,115.03958781458816,26817,0.3593546552151116
24,24,SA1_m01_v05_Ye25_spec_2020-07-01.dat,0.01,0.05,0.25,1.0244734792340324,0.2048946958468065,0.2048946958468065,301.8553840056531,26817,0.2048946958468065
25,25,SA1_m01_v05_Ye30_spec_2020-07-01.dat,0.01,0.05,0.3,0.8614824269619336,0.17229648539238673,0.17229648539238673,291.98699153779165,26817,0.17229648539238673
26,26,SA1_m01_v05_Ye35_spec_2020-07-01.dat,0.01,0.05,0.35,1.013868329250433,0.2027736658500866,0.2027736658500866,276.3423628747879,26817,0.2027736658500866
27,27,SA1_m01_v05_Ye40_spec_2020-07-01.dat,0.01,0.05,0.4,1.3408671504999776,0.26817343009999556,0.26817343009999556,101.72247551996556,26817,0.26817343009999556
29,29,SA1_m01_v10_Ye15_spec_2020-07-01.dat,0.01,0.1,0.15,69.82004838383165,13.96400967676633,13.96400967676633,1.1752883695674623,26311,13.96400967676633
30,30,SA1_m01_v10_Ye20_spec_2020-07-01.dat,0.01,0.1,0.2,5.378868075399799,1.07577361507996,1.07577361507996,24.26477628106568,26311,1.07577361507996
31,31,SA1_m01_v10_Ye25_spec_2020-07-01.dat,0.01,0.1,0.25,0.5351214087261313,0.10702428174522627,0.10702428174522627,198.47754179889247,26311,0.10702428174522627
32,32,SA1_m01_v10_Ye30_spec_2020-07-01.dat,0.01,0.1,0.3,0.7831491413448967,0.15662982826897934,0.15662982826897934,174.06980535238085,26311,0.15662982826897934
33,33,SA1_m01_v10_Ye35_spec_2020-07-01.dat,0.01,0.1,0.35,0.5028949848035271,0.10057899696070544,0.10057899696070544,143.67737240695027,26311,0.10057899696070544
34,34,SA1_m01_v10_Ye40_spec_2020-07-01.dat,0.01,0.1,0.4,1.3581167017971776,0.27162334035943553,0.27162334035943553,60.71580744521765,26311,0.27162334035943553
36,36,SA1_m01_v20_Ye15_spec_2020-07-01.dat,0.01,0.2,0.15,94.3326468487658,18.866529369753163,18.866529369753163,1.078240243691,24793,18.866529369753163
37,37,SA1_m01_v20_Ye20_spec_2020-07-01.dat,0.01,0.2,0.2,19.133507976988536,3.8267015953977075,3.8267015953977075,15.842785826598195,24793,3.8267015953977075
38,38,SA1_m01_v20_Ye25_spec_2020-07-01.dat,0.01,0.2,0.25,0.6540863684638384,0.1308172736927677,0.1308172736927677,120.32312129841716,24793,0.1308172736927677
39,39,SA1_m01_v20_Ye30_spec_2020-07-01.dat,0.01,0.2,0.3,2.150232402270507,0.43004648045410143,0.43004648045410143,83.36173764567124,24793,0.43004648045410143
40,40,SA1_m01_v20_Ye35_spec_2020-07-01.dat,0.01,0.2,0.35,2.186462208263237,0.4372924416526474,0.4372924416526474,72.52513847893547,24793,0.4372924416526474
41,41,SA1_m01_v20_Ye40_spec_2020-07-01.dat,0.01,0.2,0.4,5.8226220034941925,1.1645244006988384,1.1645244006988384,38.3458248474204,24793,1.1645244006988384
43,43,SA1_m03_v05_Ye15_spec_2020-07-10.dat,0.03,0.05,0.15,18.126667374045866,3.6253334748091732,3.6253334748091732,4.631574111669253,26817,3.6253334748091732
44,44,SA1_m03_v05_Ye20_spec_2020-07-10.dat,0.03,0.05,0.2,1.4811978593667074,0.2962395718733415,0.2962395718733415,121.52977180610227,26817,0.2962395718733415
45,45,SA1_m03_v05_Ye25_spec_2020-07-10.dat,0.03,0.05,0.25,0.8911393385649978,0.1782278677129996,0.1782278677129996,355.5405796408276,26817,0.1782278677129996
46,46,SA1_m03_v05_Ye30_spec_2020-07-10.dat,0.03,0.05,0.3,0.7441494319605771,0.14882988639211545,0.14882988639211545,340.6071374187484,26817,0.14882988639211545
47,47,SA1_m03_v05_Ye35_spec_2020-07-10.dat,0.03,0.05,0.35,0.8178045441393273,0.16356090882786548,0.16356090882786548,323.4747552807829,26817,0.16356090882786548
48,48,SA1_m03_v05_Ye40_spec_2020-07-10.dat,0.03,0.05,0.4,1.1162291543791296,0.22324583087582595,0.22324583087582595,115.88594050644764,26817,0.22324583087582595
50,50,SA1_m03_v10_Ye15_spec_2020-07-10.dat,0.03,0.1,0.15,49.81135764520317,9.962271529040635,9.962271529040635,0.8223051556260402,26311,9.962271529040635
51,51,SA1_m03_v10_Ye20_spec_2020-07-10.dat,0.03,0.1,0.2,3.7986365582133272,0.7597273116426655,0.7597273116426655,29.92100206551486,26311,0.7597273116426655
52,52,SA1_m03_v10_Ye25_spec_2020-07-10.dat,0.03,0.1,0.25,0.4565499905656306,0.09130999811312612,0.09130999811312612,247.06797477373124,26311,0.09130999811312612
53,53,SA1_m03_v10_Ye30_spec_2020-07-10.dat,0.03,0.1,0.3,0.6613420865463748,0.13226841730927497,0.13226841730927497,214.69192684718712,26311,0.13226841730927497
54,54,SA1_m03_v10_Ye35_spec_2020-07-10.dat,0.03,0.1,0.35,0.4505708061108911,0.09011416122217823,0.09011416122217823,173.2371794231304,26311,0.09011416122217823
55,55,SA1_m03_v10_Ye40_spec_2020-07-10.dat,0.03,0.1,0.4,0.8971561851329823,0.17943123702659647,0.17943123702659647,74.86000353440126,26311,0.17943123702659647
57,57,SA1_m03_v20_Ye15_spec_2020-07-10.dat,0.03,0.2,0.15,65.00913967294099,13.0018279345882,13.0018279345882,1.0089115316211417,24793,13.0018279345882
58,58,SA1_m03_v20_Ye20_spec_2020-07-10.dat,0.03,0.2,0.2,13.264553577178305,2.6529107154356613,2.6529107154356613,10.253820841865991,24793,2.6529107154356613
59,59,SA1_m03_v20_Ye25_spec_2020-07-10.dat,0.03,0.2,0.25,0.3936092909180116,0.07872185818360233,0.07872185818360233,157.56946209852356,24793,0.07872185818360233
60,60,SA1_m03_v20_Ye30_spec_2020-07-10.dat,0.03,0.2,0.3,1.236601801406812,0.24732036028136242,0.24732036028136242,118.37399025689116,24793,0.24732036028136242
61,61,SA1_m03_v20_Ye35_spec_2020-07-10.dat,0.03,0.2,0.35,1.2444226559073817,0.24888453118147635,0.24888453118147635,98.95067850910156,24793,0.24888453118147635
62,62,SA1_m03_v20_Ye40_spec_2020-07-10.dat,0.03,0.2,0.4,2.9231471171170416,0.5846294234234083,0.5846294234234083,51.415261366898406,24793,0.5846294234234083
64,64,SA1_m05_v05_Ye15_spec_2020-07-01.dat,0.05,0.05,0.15,16.422871328297372,3.2845742656594745,3.2845742656594745,4.167553529225125,26817,3.2845742656594745
65,65,SA1_m05_v05_Ye20_spec_2020-07-01.dat,0.05,0.05,0.2,1.3703342991074852,0.27406685982149703,0.27406685982149703,113.18068493967694,26817,0.27406685982149703
66,66,SA1_m05_v05_Ye25_spec_2020-07-01.dat,0.05,0.05,0.25,0.8290931130065995,0.1658186226013199,0.1658186226013199,370.2418765474765,26817,0.1658186226013199
67,67,SA1_m05_v05_Ye30_spec_2020-07-01.dat,0.05,0.05,0.3,0.6864742802749086,0.13729485605498173,0.13729485605498173,347.79596262806035,26817,0.13729485605498173
68,68,SA1_m05_v05_Ye35_spec_2020-07-01.dat,0.05,0.05,0.35,0.7337245422613176,0.1467449084522635,0.1467449084522635,340.3524861042995,26817,0.1467449084522635
69,69,SA1_m05_v05_Ye40_spec_2020-07-01.dat,0.05,0.05,0.4,1.0244734792340324,0.2048946958468065,0.2048946958468065,124.48723122569552,26817,0.2048946958468065
71,71,SA1_m05_v10_Ye15_spec_2020-07-01.dat,0.05,0.1,0.15,42.59869649199149,8.519739298398298,8.519739298398298,0.8590163288428505,26311,8.519739298398298
72,72,SA1_m05_v10_Ye20_spec_2020-07-01.dat,0.05,0.1,0.2,3.341990108544544,0.6683980217089088,0.6683980217089088,30.50579976763369,26311,0.6683980217089088
73,73,SA1_m05_v10_Ye25_spec_2020-07-01.dat,0.05,0.1,0.25,0.4227377135364668,0.08454754270729337,0.08454754270729337,272.83119179379827,26311,0.08454754270729337
74,74,SA1_m05_v10_Ye30_spec_2020-07-01.dat,0.05,0.1,0.3,0.6051600176216118,0.12103200352432236,0.12103200352432236,235.3475391335117,26311,0.12103200352432236
75,75,SA1_m05_v10_Ye35_spec_2020-07-01.dat,0.05,0.1,0.35,0.4259859926903909,0.08519719853807818,0.08519719853807818,185.34468581698655,26311,0.08519719853807818
76,76,SA1_m05_v10_Ye40_spec_2020-07-01.dat,0.05,0.1,0.4,0.7856801121110767,0.15713602242221536,0.15713602242221536,78.53563255969692,26311,0.15713602242221536
78,78,SA1_m05_v20_Ye15_spec_2020-07-01.dat,0.05,0.2,0.15,56.0608707841486,11.21217415682972,11.21217415682972,0.9051810364273122,24793,11.21217415682972
79,79,SA1_m05_v20_Ye20_spec_2020-07-01.dat,0.05,0.2,0.2,10.97184219060058,2.194368438120116,2.194368438120116,7.84201674197383,24793,2.194368438120116
80,80,SA1_m05_v20_Ye25_spec_2020-07-01.dat,0.05,0.2,0.25,0.3348848299759769,0.06697696599519538,0.06697696599519538,177.41038291711658,24793,0.06697696599519538
81,81,SA1_m05_v20_Ye30_spec_2020-07-01.dat,0.05,0.2,0.3,1.015239032369239,0.20304780647384782,0.20304780647384782,127.7727135836866,24793,0.20304780647384782
82,82,SA1_m05_v20_Ye35_spec_2020-07-01.dat,0.05,0.2,0.35,1.0155947083687178,0.20311894167374356,0.20311894167374356,108.376884647313,24793,0.20311894167374356
83,83,SA1_m05_v20_Ye40_spec_2020-07-01.dat,0.05,0.2,0.4,2.245047453577458,0.44900949071549157,0.44900949071549157,56.4824939703927,24793,0.44900949071549157
85,85,SA1_m08_v05_Ye15_spec_2020-07-10.dat,0.08,0.05,0.15,15.584736780114982,3.1169473560229966,3.1169473560229966,3.782956893501853,26817,3.1169473560229966
86,86,SA1_m08_v05_Ye20_spec_2020-07-10.dat,0.08,0.05,0.2,1.3033649490456989,0.2606729898091398,0.2606729898091398,100.1960007313708,26817,0.2606729898091398
87,87,SA1_m08_v05_Ye25_spec_2020-07-10.dat,0.08,0.05,0.25,0.7683238472059677,0.15366476944119356,0.15366476944119356,365.3374434395539,26817,0.15366476944119356
88,88,SA1_m08_v05_Ye30_spec_2020-07-10.dat,0.08,0.05,0.3,0.6386937953381002,0.12773875906762006,0.12773875906762006,338.172711391376,26817,0.12773875906762006
89,89,SA1_m08_v05_Ye35_spec_2020-07-10.dat,0.08,0.05,0.35,0.6712087038518206,0.13424174077036413,0.13424174077036413,335.8418074292298,26817,0.13424174077036413
90,90,SA1_m08_v05_Ye40_spec_2020-07-10.dat,0.08,0.05,0.4,0.9341893352155648,0.18683786704311298,0.18683786704311298,131.4742945001858,26817,0.18683786704311298
92,92,SA1_m08_v10_Ye15_spec_2020-07-10.dat,0.08,0.1,0.15,37.09159701409815,7.41831940281963,7.41831940281963,0.7946206863128658,26311,7.41831940281963
93,93,SA1_m08_v10_Ye20_spec_2020-07-10.dat,0.08,0.1,0.2,3.0261968537338304,0.6052393707467661,0.6052393707467661,30.05380839278025,26311,0.6052393707467661
94,94,SA1_m08_v10_Ye25_spec_2020-07-10.dat,0.08,0.1,0.25,0.3862158731969221,0.07724317463938442,0.07724317463938442,298.73737340241405,26311,0.07724317463938442
95,95,SA1_m08_v10_Ye30_spec_2020-07-10.dat,0.08,0.1,0.3,0.5601025405705443,0.11202050811410887,0.11202050811410887,249.3854524466212,26311,0.11202050811410887
96,96,SA1_m08_v10_Ye35_spec_2020-07-10.dat,0.08,0.1,0.35,0.4023599748315973,0.08047199496631946,0.08047199496631946,196.4797696251375,26311,0.08047199496631946
97,97,SA1_m08_v10_Ye40_spec_2020-07-10.dat,0.08,0.1,0.4,0.7097683242882867,0.14195366485765734,0.14195366485765734,79.45756398914017,26311,0.14195366485765734
99,99,SA1_m08_v20_Ye15_spec_2020-07-10.dat,0.08,0.2,0.15,49.47977176129916,9.895954352259833,9.895954352259833,0.7913353060627146,24793,9.895954352259833
100,100,SA1_m08_v20_Ye20_spec_2020-07-10.dat,0.08,0.2,0.2,9.26927925977322,1.8538558519546442,1.8538558519546442,6.420074078201244,24793,1.8538558519546442
101,101,SA1_m08_v20_Ye25_spec_2020-07-10.dat,0.08,0.2,0.25,0.2939935225615485,0.0587987045123097,0.0587987045123097,194.573552675142,24793,0.0587987045123097
102,102,SA1_m08_v20_Ye30_spec_2020-07-10.dat,0.08,0.2,0.3,0.86047093108846,0.172094186217692,0.172094186217692,133.1891008952883,24793,0.172094186217692
