radius,grav_mass,bary_mass,rho_c
11.871755274196616,1.4450114705771475,1.61560092091261,879000000000000.0
11.871055336946672,1.4467397065391627,1.6177811387512468,880000000000000.0
11.869858240047602,1.448455934987164,1.619943051228775,881000000000000.0
11.869109797188516,1.4501758054530072,1.6221153739602423,882000000000000.0
11.868242563353887,1.4518920720605533,1.6242799535385943,883000000000000.0
11.867060677762876,1.4536096744280262,1.626448536635792,884000000000000.0
11.865584478099516,1.455320288553533,1.6286085343562706,885000000000000.0
11.86512888859233,1.457033391532188,1.6307753281055584,886000000000000.0
11.863959574664975,1.4587319476528164,1.632924992095335,887000000000000.0
11.863000143984387,1.460441063372564,1.6350842014857798,888000000000000.0
11.861966246692752,1.462132058132254,1.6372243200740393,889000000000000.0
11.861102345587234,1.46383235402365,1.6393739823669558,890000000000000.0
11.860120536163402,1.4655308565513223,1.6415301400380788,891000000000000.0
11.858513907924044,1.4672194764795152,1.6436678249773355,892000000000000.1
11.857862988032846,1.4689084260010503,1.6458054177255417,893000000000000.0
11.857180792095113,1.4705932005694795,1.6479396690716657,894000000000000.0
11.856007844738414,1.472267995291536,1.650062262402084,895000000000000.0
11.854874129226667,1.4739552453444014,1.6522086744020072,896000000000000.0
11.854128701138398,1.4756232289379707,1.654319452778018,897000000000000.0
11.852718872897242,1.4772958253481734,1.6564422133394814,898000000000000.0
11.851472968907899,1.4789696456567305,1.6585671037634675,899000000000000.0
11.851006341553404,1.480640709335959,1.660691196128251,900000000000000.0
11.849653086769091,1.4822999486356587,1.6627976251611811,901000000000000.0
11.848623746295777,1.4839632131784848,1.6649155149247248,902000000000000.0
11.847461901286707,1.485615827610539,1.6670124502530794,903000000000000.0
11.846508248890627,1.4872695793875157,1.669116928311244,904000000000000.0
11.845417431448247,1.4889192053250808,1.6712149985438325,905000000000000.0
11.844188201911585,1.4905694864900816,1.6733147478945458,906000000000000.0
11.843195314286113,1.4922216364063623,1.675423233660466,907000000000000.0
11.842202824213462,1.4938581161275155,1.6775028083962873,908000000000000.0
11.840894442372774,1.4955014266771078,1.6795972048439491,909000000000000.0
11.839817271294613,1.4971352057314096,1.6816786380443258,910000000000000.0
11.839024813756838,1.4987706334753392,1.6837637858303365,911000000000000.0
11.838077024340976,1.5004064065953695,1.685856019099662,912000000000000.0
11.836806313668394,1.50203237328359,1.6879284651701567,913000000000000.0
11.835667317667756,1.5036517541174843,1.6899905399167332,914000000000000.0
11.834849542200313,1.5052769440092226,1.6920668095695304,915000000000000.0
11.833527284567321,1.5068917435363527,1.69412858274381,916000000000000.0
11.831971345893251,1.5085076453501107,1.6961930121901023,917000000000000.0
11.831152671895747,1.510127031508395,1.6982652798624187,918000000000000.0
11.830257825031344,1.5117362484751822,1.7003211780221004,919000000000000.0
11.829184317667872,1.5133431272028257,1.702375419192338,920000000000000.0
11.827975625973881,1.514949307442764,1.704431146088134,921000000000000.0
11.826951424806962,1.5165556237600186,1.7064934523269808,922000000000000.0
11.825691616287102,1.518144576586406,1.7085231038380084,923000000000000.0
11.824440776136795,1.5197425299007408,1.7105677941866066,924000000000000.0
11.823108570197586,1.5213363800806046,1.712606977780759,925000000000000.0
11.822586516324472,1.5229218078985505,1.7146439355722287,926000000000000.0
11.821263358063073,1.5245083070502414,1.7166753276443123,927000000000000.0
11.82012016243596,1.5260902195002648,1.7187006763471675,928000000000000.0
11.818967201086119,1.5276700355980737,1.7207280111327288,929000000000000.0
11.818031128201625,1.5292500438386425,1.7227556719199255,930000000000000.0
11.816684434197539,1.5308251595002818,1.7247797953972848,931000000000000.0
11.81540210600792,1.5323997163666925,1.7268030636031608,932000000000000.0
